bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly				
PRJNA418115	SAMN08017210	11LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	11-LB_S50_L001_R1_001.fastq	11-LB_S50_L001_R2_001.fastq							
PRJNA418115	SAMN08017211	11LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	11-LS_S48_L001_R1_001.fastq	11-LS_S48_L001_R2_001.fastq							
PRJNA418115	SAMN08017212	11RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	11-RB_S51_L001_R1_001.fastq	11-RB_S51_L001_R2_001.fastq							
PRJNA418115	SAMN08017213	11RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	11-RS_S49_L001_R1_001.fastq	11-RS_S49_L001_R2_001.fastq							
PRJNA418115	SAMN08017214	11SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	11-SS_S52_L001_R1_001.fastq	11-SS_S52_L001_R2_001.fastq							
PRJNA418115	SAMN08017215	13LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	13LS_S119_L001_R1_001.fastq	13LS_S119_L001_R2_001.fastq							
PRJNA418115	SAMN08017216	13RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	13-RB_S27_L001_R1_001.fastq	13-RB_S27_L001_R2_001.fastq							
PRJNA418115	SAMN08017217	13RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	13-RS_S25_L001_R1_001.fastq	13-RS_S25_L001_R2_001.fastq							
PRJNA418115	SAMN08017218	13SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	13-SS_S28_L001_R1_001.fastq	13-SS_S28_L001_R2_001.fastq							
PRJNA418115	SAMN08017219	15LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	15LB_S110_L001_R1_001.fastq	15LB_S110_L001_R2_001.fastq							
PRJNA418115	SAMN08017220	15LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	15-LS_S41_L001_R1_001.fastq	15-LS_S41_L001_R2_001.fastq							
PRJNA418115	SAMN08017221	15RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	15-RB_S44_L001_R1_001.fastq	15-RB_S44_L001_R2_001.fastq							
PRJNA418115	SAMN08017222	15RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	15RS_S116_L001_R1_001.fastq	15RS_S116_L001_R2_001.fastq							
PRJNA418115	SAMN08017223	15SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	15-SS_S45_L001_R1_001.fastq	15-SS_S45_L001_R2_001.fastq							
PRJNA418115	SAMN08017224	17LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	17LB_S103_L001_R1_001.fastq	17LB_S103_L001_R2_001.fastq							
PRJNA418115	SAMN08017225	17LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	17LS_S109_L001_R1_001.fastq	17LS_S109_L001_R2_001.fastq							
PRJNA418115	SAMN08017226	17RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	17-RB_S15_L001_R1_001.fastq	17-RB_S15_L001_R2_001.fastq							
PRJNA418115	SAMN08017227	17RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	17-RS_S13_L001_R1_001.fastq	17-RS_S13_L001_R2_001.fastq							
PRJNA418115	SAMN08017228	17SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	17-SS_S16_L001_R1_001.fastq	17-SS_S16_L001_R2_001.fastq							
PRJNA418115	SAMN08017229	19LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	19LB_S98_L001_R1_001.fastq	19LB_S98_L001_R2_001.fastq							
PRJNA418115	SAMN08017230	19LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	19-LS_S124_L001_R1_001.fastq	19-LS_S124_L001_R2_001.fastq							
PRJNA418115	SAMN08017231	19RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	19-RB_S127_L001_R1_001.fastq	19-RB_S127_L001_R2_001.fastq							
PRJNA418115	SAMN08017232	19RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	19-RS_S125_L001_R1_001.fastq	19-RS_S125_L001_R2_001.fastq							
PRJNA418115	SAMN08017233	19SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	19-SS_S181_L001_R1_001.fastq	19-SS_S181_L001_R2_001.fastq							
PRJNA418115	SAMN08017234	22LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	22LB_S129_L001_R1_001.fastq	22LB_S129_L001_R2_001.fastq							
PRJNA418115	SAMN08017235	22LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	22-LS_S60_L001_R1_001.fastq	22-LS_S60_L001_R2_001.fastq							
PRJNA418115	SAMN08017236	22RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	22RB_S135_L001_R1_001.fastq	22RB_S135_L001_R2_001.fastq							
PRJNA418115	SAMN08017237	22RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	22-RS_S61_L001_R1_001.fastq	22-RS_S61_L001_R2_001.fastq							
PRJNA418115	SAMN08017238	22SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	22-SS_S64_L001_R1_001.fastq	22-SS_S64_L001_R2_001.fastq							
PRJNA418115	SAMN08017239	24LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	24LB_S125_L001_R1_001.fastq	24LB_S125_L001_R2_001.fastq							
PRJNA418115	SAMN08017240	24LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	24-LS_S10_L001_R1_001.fastq	24-LS_S10_L001_R2_001.fastq							
PRJNA418115	SAMN08017241	24RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	24-RB_S23_L001_R1_001.fastq	24-RB_S23_L001_R2_001.fastq							
PRJNA418115	SAMN08017242	24RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	24-RS_S11_L001_R1_001.fastq	24-RS_S11_L001_R2_001.fastq							
PRJNA418115	SAMN08017243	24SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	24-SS_S34_L001_R1_001.fastq	24-SS_S34_L001_R2_001.fastq							
PRJNA418115	SAMN08017244	32LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	32LB_S120_L001_R1_001.fastq	32LB_S120_L001_R2_001.fastq							
PRJNA418115	SAMN08017245	32LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	32-LS_S77_L001_R1_001.fastq	32-LS_S77_L001_R2_001.fastq							
PRJNA418115	SAMN08017246	32RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	32RB_S121_L001_R1_001.fastq	32RB_S121_L001_R2_001.fastq							
PRJNA418115	SAMN08017247	32RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	32-RS_S78_L001_R1_001.fastq	32-RS_S78_L001_R2_001.fastq							
PRJNA418115	SAMN08017248	32SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	32-SS_S81_L001_R1_001.fastq	32-SS_S81_L001_R2_001.fastq							
PRJNA418115	SAMN08017249	33LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	33-LB_S7_L001_R1_001.fastq	33-LB_S7_L001_R2_001.fastq							
PRJNA418115	SAMN08017250	33LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	33-LS_S5_L001_R1_001.fastq	33-LS_S5_L001_R2_001.fastq							
PRJNA418115	SAMN08017251	33RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	33RB_S111_L001_R1_001.fastq	33RB_S111_L001_R2_001.fastq							
PRJNA418115	SAMN08017252	33RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	33-RS_S6_L001_R1_001.fastq	33-RS_S6_L001_R2_001.fastq							
PRJNA418115	SAMN08017253	33SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	33-SS_S9_L001_R1_001.fastq	33-SS_S9_L001_R2_001.fastq							
PRJNA418115	SAMN08017254	37LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	37LB_S126_L001_R1_001.fastq	37LB_S126_L001_R2_001.fastq							
PRJNA418115	SAMN08017255	37LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	37-LS_S53_L001_R1_001.fastq	37-LS_S53_L001_R2_001.fastq							
PRJNA418115	SAMN08017256	37RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	37-RB_S56_L001_R1_001.fastq	37-RB_S56_L001_R2_001.fastq							
PRJNA418115	SAMN08017257	37RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	37-RS_S54_L001_R1_001.fastq	37-RS_S54_L001_R2_001.fastq							
PRJNA418115	SAMN08017258	37SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	37-SS_S57_L001_R1_001.fastq	37-SS_S57_L001_R2_001.fastq							
PRJNA418115	SAMN08017259	40LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	40LB_S99_L001_R1_001.fastq	40LB_S99_L001_R2_001.fastq							
PRJNA418115	SAMN08017260	40LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	40-LS_S1_L001_R1_001.fastq	40-LS_S1_L001_R2_001.fastq							
PRJNA418115	SAMN08017261	40RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	40-RB_S3_L001_R1_001.fastq	40-RB_S3_L001_R2_001.fastq							
PRJNA418115	SAMN08017263	40SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	40-SS_S4_L001_R1_001.fastq	40-SS_S4_L001_R2_001.fastq							
PRJNA418115	SAMN08017264	59LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	59LB_S97_L001_R1_001.fastq	59LB_S97_L001_R2_001.fastq							
PRJNA418115	SAMN08017265	59LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	59-LS_S70_L001_R1_001.fastq	59-LS_S70_L001_R2_001.fastq							
PRJNA418115	SAMN08017266	59RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	59-RB_S83_L001_R1_001.fastq	59-RB_S83_L001_R2_001.fastq							
PRJNA418115	SAMN08017267	59RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	59-RS_S71_L001_R1_001.fastq	59-RS_S71_L001_R2_001.fastq							
PRJNA418115	SAMN08017268	59SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	59-SS_S180_L001_R1_001.fastq	59-SS_S180_L001_R2_001.fastq							
PRJNA418115	SAMN08017269	62LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	62LB_S115_L001_R1_001.fastq	62LB_S115_L001_R2_001.fastq							
PRJNA418115	SAMN08017270	62LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	62-LS_S17_L001_R1_001.fastq	62-LS_S17_L001_R2_001.fastq							
PRJNA418115	SAMN08017271	62RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	62-RB_S20_L001_R1_001.fastq	62-RB_S20_L001_R2_001.fastq							
PRJNA418115	SAMN08017272	62RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	62-RS_S18_L001_R1_001.fastq	62-RS_S18_L001_R2_001.fastq							
PRJNA418115	SAMN08017273	62SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	62-SS_S21_L001_R1_001.fastq	62-SS_S21_L001_R2_001.fastq							
PRJNA418115	SAMN08017274	77LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	77-LB_S74_L001_R1_001.fastq	77-LB_S74_L001_R2_001.fastq							
PRJNA418115	SAMN08017275	77LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	77-LS_S72_L001_R1_001.fastq	77-LS_S72_L001_R2_001.fastq							
PRJNA418115	SAMN08017276	77RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	77RB_S104_L001_R1_001.fastq	77RB_S104_L001_R2_001.fastq							
PRJNA418115	SAMN08017277	77RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	77-RS_S73_L001_R1_001.fastq	77-RS_S73_L001_R2_001.fastq							
PRJNA418115	SAMN08017278	77SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	77-SS_S76_L001_R1_001.fastq	77-SS_S76_L001_R2_001.fastq							
PRJNA418115	SAMN08017279	84LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	84LB_S124_L001_R1_001.fastq	84LB_S124_L001_R2_001.fastq							
PRJNA418115	SAMN08017280	84LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	84-LS_S46_L001_R1_001.fastq	84-LS_S46_L001_R2_001.fastq							
PRJNA418115	SAMN08017281	84RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	84-RB_S59_L001_R1_001.fastq	84-RB_S59_L001_R2_001.fastq							
PRJNA418115	SAMN08017282	84RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	84-RS_S47_L001_R1_001.fastq	84-RS_S47_L001_R2_001.fastq							
PRJNA418115	SAMN08017283	84SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	84-SS_S35_L001_R1_001.fastq	84-SS_S35_L001_R2_001.fastq							
PRJNA418115	SAMN08017284	90LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	90LB_S114_L001_R1_001.fastq	90LB_S114_L001_R2_001.fastq							
PRJNA418115	SAMN08017285	90LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	90-LS_S89_L001_R1_001.fastq	90-LS_S89_L001_R2_001.fastq							
PRJNA418115	SAMN08017286	90RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	90-RB_S92_L001_R1_001.fastq	90-RB_S92_L001_R2_001.fastq							
PRJNA418115	SAMN08017287	90RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	90-RS_S90_L001_R1_001.fastq	90-RS_S90_L001_R2_001.fastq							
PRJNA418115	SAMN08017288	90SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	90-SS_S93_L001_R1_001.fastq	90-SS_S93_L001_R2_001.fastq							
PRJNA418115	SAMN08017289	93LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	93-LB_S31_L001_R1_001.fastq	93-LB_S31_L001_R2_001.fastq							
PRJNA418115	SAMN08017290	93LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	93LS_S134_L001_R1_001.fastq	93LS_S134_L001_R2_001.fastq							
PRJNA418115	SAMN08017291	93RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	93-RB_S32_L001_R1_001.fastq	93-RB_S32_L001_R2_001.fastq							
PRJNA418115	SAMN08017292	93RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	93-RS_S30_L001_R1_001.fastq	93-RS_S30_L001_R2_001.fastq							
PRJNA418115	SAMN08017293	93SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	93-SS_S33_L001_R1_001.fastq	93-SS_S33_L001_R2_001.fastq							
PRJNA418115	SAMN08017294	97LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	97-LB_S38_L001_R1_001.fastq	97-LB_S38_L001_R2_001.fastq							
PRJNA418115	SAMN08017295	97LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	97-LS_S36_L001_R1_001.fastq	97-LS_S36_L001_R2_001.fastq							
PRJNA418115	SAMN08017296	97RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	97-RB_S39_L001_R1_001.fastq	97-RB_S39_L001_R2_001.fastq							
PRJNA418115	SAMN08017297	97RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	97-RS_S37_L001_R1_001.fastq	97-RS_S37_L001_R2_001.fastq							
PRJNA418115	SAMN08017298	97SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	97-SS_S40_L001_R1_001.fastq	97-SS_S40_L001_R2_001.fastq							
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
